game_id,date,home_team,visitor_team,home_game_number,home_result,home_streak,home_offensive_rating,home_defensive_rating,home_ts_percent,home_assist_percent,home_steal_percent,home_rebound_percent,home_turnover_percent,visitor_game_number,visitor_result,visitor_streak,visitor_offensive_rating,visitor_defensive_rating,visitor_ts_percent,visitor_assist_percent,visitor_steal_percent,visitor_rebound_percent,visitor_turnover_percent
202411020DEN,2024-11-02T14:00:00Z,DEN,UTA,8,W,1W,113.54,116.86,0.549,68.5,8.9,50.9,10.5,8,L,7L,98.1,115.02,0.497,62.6,6.9,49.9,16.3
202411020LAC,2024-11-02T14:30:00Z,LAC,OKC,8,L,3L,111.6,110.96,0.562,65.4,8.4,53.2,14.5,7,W,7W,114.06,96.02,0.565,57.7,13.4,47.9,10.2
202411030BRK,2024-11-03T08:30:00Z,BKN,DET,9,L,1L,117.1,115.38,0.598,64.2,8.1,49.5,13.1,9,W,1W,108.3,116.9,0.566,57.8,5.0,52.2,16.2
202411030NOP,2024-11-03T12:00:00Z,NOP,ATL,9,L,1L,109.22,115.52,0.546,64.0,9.1,50.4,13.2,7,W,1W,113.1,119.25,0.584,68.7,9.7,48.3,13.7
202411030DAL,2024-11-03T12:30:00Z,DAL,ORL,6,W,1W,113.7,112.52,0.543,59.2,8.6,48.0,9.4,8,L,3L,111.75,109.58,0.57,66.4,9.0,49.7,12.8
202411040CLE,2024-11-04T12:00:00Z,CLE,MIL,10,W,8W,122.37,107.91,0.633,61.2,9.7,50.2,11.5,8,L,6L,110.42,117.47,0.577,54.8,5.9,48.4,13.1
202411040WAS,2024-11-04T12:15:00Z,WAS,GSW,8,L,2L,109.12,117.74,0.556,64.1,8.4,46.8,12.9,8,W,4W,119.73,102.08,0.596,69.1,10.3,50.5,12.8
202411040DET,2024-11-04T12:30:00Z,DET,LAL,10,W,2W,108.79,114.06,0.571,59.2,4.9,53.9,16.6,9,L,1L,116.95,117.42,0.593,65.0,6.9,51.7,12.0
202411040ATL,2024-11-04T12:45:00Z,ATL,BOS,8,L,1L,115.59,118.63,0.597,67.2,9.8,48.4,13.8,10,W,3W,123.97,111.84,0.606,56.0,7.8,50.7,10.1
202411040BRK,2024-11-04T13:00:00Z,BKN,MEM,10,W,1W,114.23,114.86,0.59,65.3,8.3,47.6,13.2,8,L,1L,114.91,112.26,0.589,69.7,7.5,52.1,14.1
202411040MIA,2024-11-04T13:15:00Z,MIA,SAC,6,L,1L,111.86,110.54,0.55,67.6,8.1,48.5,11.0,8,W,1W,115.72,110.72,0.596,59.8,9.8,49.5,12.0
202411040CHI,2024-11-04T13:30:00Z,CHI,UTA,8,L,2L,107.28,110.5,0.559,67.7,5.7,51.0,13.7,9,W,1W,98.13,116.38,0.509,64.7,6.9,48.7,17.1
202411040HOU,2024-11-04T13:45:00Z,HOU,NYK,9,W,1W,113.88,111.13,0.52,53.8,8.0,49.9,9.8,8,L,1L,122.22,115.44,0.611,55.9,8.1,52.0,11.4
202411040MIN,2024-11-04T14:00:00Z,MIN,CHA,9,W,1W,114.02,115.37,0.603,66.5,6.2,48.1,14.7,9,L,3L,115.32,120.1,0.571,55.7,7.2,51.4,14.3
202411040OKC,2024-11-04T14:15:00Z,OKC,ORL,8,W,8W,112.47,95.28,0.565,59.6,13.0,47.5,10.4,9,L,4L,107.94,109.39,0.548,65.7,8.8,49.0,12.8
202411040NOP,2024-11-04T14:30:00Z,NOP,POR,10,L,2L,110.03,117.66,0.549,63.0,8.7,50.5,13.5,10,W,1W,106.46,114.13,0.523,56.7,8.2,49.3,13.3
202411040DAL,2024-11-04T14:45:00Z,DAL,IND,7,L,1L,112.78,107.95,0.547,59.2,8.5,49.2,10.6,9,W,1W,112.88,118.23,0.584,69.9,7.5,47.0,14.0
202411040DEN,2024-11-04T15:00:00Z,DEN,TOR,9,W,2W,115.15,113.77,0.556,68.5,9.6,52.0,11.1,10,L,1L,114.47,120.64,0.569,68.4,8.3,53.1,14.6
202411040PHO,2024-11-04T15:15:00Z,PHX,PHI,9,W,5W,113.38,109.35,0.6,71.0,7.6,48.5,13.2,8,L,3L,107.32,116.74,0.526,51.5,8.4,45.4,11.8
202411040LAC,2024-11-04T15:30:00Z,LAC,SAS,9,W,1W,108.27,109.88,0.553,66.5,8.6,53.5,15.4,9,L,1L,108.0,107.42,0.557,66.4,8.0,53.8,14.8
202411060CHO,2024-11-06T12:00:00Z,CHA,DET,10,W,1W,112.73,119.97,0.559,55.5,7.7,50.6,14.1,11,L,1L,109.71,112.81,0.568,57.9,5.0,54.6,15.8
202411060IND,2024-11-06T12:00:00Z,IND,ORL,10,W,2W,115.16,118.79,0.592,67.9,7.1,48.2,13.2,10,L,5L,104.95,108.16,0.537,66.1,9.2,49.0,13.3
202411060ATL,2024-11-06T12:30:00Z,ATL,NYK,9,W,1W,112.2,118.44,0.583,66.6,9.6,48.1,14.2,9,L,2L,119.43,115.97,0.592,56.4,7.8,50.6,11.0
202411060BOS,2024-11-06T12:30:00Z,BOS,GSW,11,L,1L,123.11,108.92,0.604,56.0,8.6,51.1,10.2,9,W,5W,119.97,103.04,0.59,68.7,9.6,51.1,11.8
202411060HOU,2024-11-06T13:00:00Z,HOU,SAS,10,W,2W,114.56,110.33,0.527,53.1,7.5,50.8,9.9,10,L,2L,108.81,109.73,0.556,65.2,8.3,53.3,14.5
202411060MEM,2024-11-06T13:00:00Z,MEM,LAL,9,W,1W,114.55,112.5,0.582,69.4,7.2,52.4,14.0,10,L,2L,115.11,117.24,0.584,66.5,7.1,50.0,12.0
202411060NOP,2024-11-06T13:00:00Z,NOP,CLE,11,L,3L,109.72,118.81,0.549,63.0,8.3,50.1,13.7,11,W,9W,121.58,108.67,0.629,61.1,9.8,49.5,11.3
202411060DAL,2024-11-06T13:30:00Z,DAL,CHI,8,W,1W,114.11,110.93,0.56,59.8,7.8,48.6,10.3,9,L,3L,109.71,113.74,0.564,69.4,5.8,49.8,12.8
202411060DEN,2024-11-06T14:00:00Z,DEN,OKC,10,W,3W,115.57,114.1,0.563,68.8,9.5,51.9,11.6,9,L,1L,110.63,93.67,0.564,59.5,12.8,47.9,11.2
202411060PHO,2024-11-06T14:00:00Z,PHX,MIA,10,W,6W,114.49,110.73,0.604,69.0,7.4,49.2,13.1,7,L,2L,112.52,111.6,0.551,67.1,8.3,48.5,10.8
202411060LAC,2024-11-06T15:00:00Z,LAC,PHI,10,W,2W,110.46,110.43,0.557,65.7,8.3,52.9,14.6,9,L,4L,109.27,117.47,0.54,54.2,8.7,45.6,12.1
202411060SAC,2024-11-06T15:00:00Z,SAC,TOR,9,W,2W,115.89,111.44,0.596,58.8,9.1,49.9,12.2,11,L,2L,114.67,120.33,0.565,69.9,8.8,52.5,14.2
202411070CHI,2024-11-07T13:00:00Z,CHI,MIN,10,L,4L,107.78,113.69,0.558,69.4,6.1,50.0,13.7,10,W,2W,114.76,112.77,0.607,65.4,6.3,49.0,14.7
202411070MIL,2024-11-07T13:00:00Z,MIL,UTA,9,W,1W,110.93,117.26,0.582,54.1,5.9,49.4,13.2,10,L,1L,103.14,117.51,0.531,65.9,6.3,50.0,16.2
202411070SAS,2024-11-07T13:00:00Z,SAS,POR,11,W,1W,107.54,111.67,0.556,63.8,8.0,52.6,15.0,11,L,1L,109.01,113.31,0.536,55.3,8.5,49.8,13.1
202411080CHO,2024-11-08T12:00:00Z,CHA,IND,11,W,2W,112.06,118.28,0.559,55.6,7.3,50.6,13.7,11,L,1L,116.21,118.47,0.603,65.8,7.1,48.2,13.0
202411080DET,2024-11-08T12:00:00Z,DET,ATL,12,W,1W,109.34,112.21,0.565,59.7,5.0,54.0,15.2,10,L,1L,113.48,118.44,0.58,66.8,9.9,48.7,13.4
202411080ORL,2024-11-08T12:00:00Z,ORL,NOP,11,W,1W,106.21,109.88,0.543,65.6,8.9,49.3,13.5,12,L,4L,111.18,120.26,0.555,61.5,8.3,49.2,13.2
202411080BOS,2024-11-08T12:30:00Z,BOS,BKN,12,W,1W,122.41,110.5,0.599,56.2,8.3,50.6,10.3,11,L,1L,114.22,114.5,0.588,65.9,8.2,47.4,13.2
202411080CLE,2024-11-08T12:30:00Z,CLE,GSW,12,W,10W,122.71,110.24,0.631,61.4,9.3,50.5,11.3,10,L,1L,120.36,104.76,0.589,66.6,9.2,51.3,11.6
202411080DAL,2024-11-08T12:30:00Z,DAL,PHX,9,L,1L,114.01,108.84,0.563,61.5,8.2,48.5,10.6,11,W,7W,115.21,111.54,0.607,69.0,7.1,49.5,13.4
202411080NYK,2024-11-08T12:30:00Z,NYK,MIL,10,W,1W,119.3,117.07,0.599,58.4,7.4,50.0,11.6,10,L,1L,113.1,115.64,0.589,53.2,6.9,49.6,12.8
202411080MEM,2024-11-08T13:00:00Z,MEM,WAS,10,W,2W,115.86,112.21,0.588,68.2,6.9,52.9,14.1,9,L,3L,109.07,118.35,0.552,64.9,7.7,46.6,12.2
